GeneID,startLoc,endLoc
155184,8992534,9026384
6518,9036941,9093407
80045,9103390,9129170
9563,9234767,9271337
80176,9292882,9369532
84275,9539469,9582773
199953,9588843,9614877
107985734,9614641,9622295
5293,9629889,9729114
22883,9729021,9824526
56998,9848276,9910322
84328,9922113,9943427
64802,9942923,9996739
116362,9997197,10016020
10277,10032983,10181239
23095,10210706,10381603
5226,10398992,10420511
100526739,10430102,10452003
378708,10430102,10442815
100526739,10430747,10452003
1325,10449719,10452003
1676,10460531,10472556
5195,10474946,10630758
54897,10636602,10796676
148345,10946473,10982037
23435,11012622,11030528
10747,11026523,11047239
6723,11054592,11060053
5394,11066613,11099910
2475,11106531,11262551
10218,11189289,11195981
29914,11273198,11299578
57540,11479155,11537583
26232,11648361,11654831
93611,11654375,11663327
26270,11664093,11674354
10459,11674480,11691788
374946,11686635,11721766
57085,11736085,11750771
284498,11762188,11789585
4524,11785730,11806103
1185,11806096,11843144
4878,11845709,11847783
4879,11857464,11858935
90231,11919588,11926428
5351,11934667,11975542
9927,11980181,12013515
60672,12019242,12032049
943,12063318,12144213
7133,12166948,12209222
55187,12230039,12512047
9249,12567910,12618361
343066,12644547,12667086
126767,12716115,12728759
93190,12746186,12761169
390999,12774848,12777906
65121,12791397,12796628
440560,12824380,12831410
343069,12847377,12848756
65122,12857086,12861909
400735,12879212,12886201
343071,12892896,12898270
441871,12916647,12920480
440561,12938472,12947580
101929983,13049808,13053659
649330,13061232,13062237
441873,13073678,13078038
440563,13115488,13116854
645359,13148905,13153111
101060301,13164555,13165482
343070,13175281,13179132
400736,13196188,13201409
391003,13222695,13226154
343068,13254198,13263435
391002,13281223,13285137
645382,13303539,13308907
653619,13315581,13322595
729528,13341892,13347134
645414,13368431,13371947
391004,13389632,13392629
645425,13410450,13421328
126755,13474977,13513747
10630,13583757,13617957
7799,13698875,13825079
23254,13893387,15118048
55092,15152418,15220480
727684,15164069,15171921
55092,15192536,15220478
114827,15236559,15400283
79180,15409895,15430343
11330,15438442,15449247
63036,15456728,15472091
51032,15476101,15491400
842,15491401,15524912
23341,15526813,15571733
79814,15571699,15585110
84301,15617458,15661057
6248,15659713,15662030
23207,15681506,15734769
284723,15735088,15741392
388595,15742492,15747797
54751,15756171,15786590
440567,15807162,15807699
23013,15847864,15940455
7709,15941869,15976132
149563,16004236,16006695
27129,16014028,16018796
1187,16021991,16034050
1188,16043736,16057326
348487,16057769,16073632
1969,16124337,16156104
128272,16197856,16212699
101927546,16217508,16227316
79363,16231687,16237445
54455,16246840,16352491
26099,16367030,16398148
374955,16397271,16437842
55707,16440672,16460090
100133301,16535818,16540035
55672,16562427,16613605
729574,16673003,16673512
102723383,16733778,16736188
11223,16754634,16764480
9696,16914082,16972979
4237,16974502,16981649
23400,16985958,17011972
6390,17018722,17054170
11240,17066761,17119453
29943,17205123,17246006
51702,17249079,17284233
23569,17308195,17364004
353238,17372196,17401699
55920,17406755,17439754
55160,17520197,17697875
81569,17755313,17827063
84966,18107746,18378483
127707,18480930,18485999
5081,18631006,18748866
80834,18839599,18859661
8659,18871430,18902799
126917,18904280,18956672
23352,19074506,19210334
23065,19215664,19251559
51154,19251581,19260128
22977,19274309,19289362
8574,19302708,19312146
54896,19312246,19332611
832,19338773,19485641
100532736,19596977,19658456
440574,19596977,19629821
4681,19643229,19658456
3362,19665287,19680966
255104,19682213,19800385
54546,19814029,19815278
23252,19881711,19912945
30814,19920307,19923617
5320,19975431,19980439
5322,20028350,20091901
26279,20112650,20119566
64600,20139326,20150386
391013,20163085,20177364
127733,20183106,20196060
127731,20290907,20360442
55450,20482391,20486235
79594,20499448,20508483
163933,20552439,20555020
978,20588951,20618908
65018,20633455,20651511
1650,20651767,20661544
57576,20662294,20718017
400745,20719731,20732640
50809,20742677,20787809
8672,20806292,21177320
1889,21217247,21345541
84224,21436775,21484900
249,21508982,21578412
5909,21596215,21669444
84196,21678298,21783620
401944,21812209,21825221
3339,21822232,21937297
23436,21976894,21989354
10136,22001656,22012542
998,22052627,22092943
54361,22117305,22143981
9923,22428838,22531157
2046,22563511,22603594
712,22636625,22639682
714,22643625,22648110
713,22653189,22661536
